Name,Address,Rating,Website,Price,City,State
‘Alohilani Resort Waikiki Beach,"2490 Kalākaua Ave, Honolulu, HI 96815, USA",4.2,https://www.alohilaniresort.com/,210,Honolulu,HI
Ramada Plaza by Wyndham Waikiki,"1830 Ala Moana Blvd, Honolulu, HI 96815, USA",4,https://www.wyndhamhotels.com/ramada/honolulu-hawaii/ramada-plaza-waikiki/overview?CID=LC:wmcic5n98gs1g0r:35226&iata=00093796,98,Honolulu,HI
Waikiki Monarch Hotel,"444 Niu St, Honolulu, HI 96815, USA",3.4,http://waikikimonarchhotel.com/,244,Honolulu,HI
"The Laylow, Autograph Collection","2299 Kūhiō Ave., Honolulu, HI 96815, USA",4.5,https://www.marriott.com/en-us/hotels/hnlak-the-laylow-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,149,Honolulu,HI
Courtyard Waikiki Beach,"400 Royal Hawaiian Ave, Honolulu, HI 96815, USA",3.7,https://www.marriott.com/en-us/hotels/hnlow-courtyard-waikiki-beach/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,186,Honolulu,HI
Hotel Theodore,"1531 7th Ave, Seattle, WA 98101, USA",4.2,https://www.hoteltheodore.com/,223,Seattle,WC
Hotel Max,"620 Stewart St, Seattle, WA 98101, USA",4.1,https://www.hotelmaxseattle.com/,86,Seattle,WC
Hyatt Regency Seattle,"808 Howell St, Seattle, WA 98101, USA",4.6,https://www.hyatt.com/hyatt-regency/en-US/sears-hyatt-regency-seattle?src=corp_lclb_google_seo_sears&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,217,Seattle,WC
Travelodge by Wyndham Seattle By The Space Needle,"200 6th Ave N, Seattle, WA 98109, USA",3.3,https://www.wyndhamhotels.com/travelodge/seattle-washington/travelodge-seattle-by-the-space-needle/overview?CID=LC:fkqqcjhla7b6gbb:07033&iata=00093796,174,Seattle,WC
Hilton Garden Inn Seattle Downtown,"1821 Boren Ave, Seattle, WA 98101, USA",4.1,https://www.hilton.com/en/hotels/seabagi-hilton-garden-inn-seattle-downtown/?SEO_id=GMB-AMER-GI-SEABAGI&y_source=1_MjQ0Mjg0Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,185,Seattle,WC
The Edgewater Hotel,"2411 Alaskan Wy, Seattle, WA 98121, USA",4.4,https://www.edgewaterhotel.com/?utm_source=gmb-hotel&utm_medium=organic&utm_campaign=gmb,110,Seattle,WC
Seattle Marriott Waterfront,"2100 Alaskan Wy, Seattle, WA 98121, USA",4.3,https://www.marriott.com/en-us/hotels/seawf-seattle-marriott-waterfront/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,102,Seattle,WC
Executive Hotel Pacific,"400 Spring St, Seattle, WA 98104, USA",3.5,http://executivehotelseattle.com/,139,Seattle,WC
Kimpton Palladian Hotel,"2000 2nd Ave #100, Seattle, WA 98121, USA",4.3,https://www.palladianhotel.com/?&cm_mmc=WEB-_-KI-_-AMER-_-EN-_-EV-_-Google%20Business%20Profile-_-DD-_-Palladian,189,Seattle,WC
